2023-05-16 11:18:17.899 WARN  --- [http-nio-8080-exec-2] o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.validation.BindException: org.springframework.validation.BeanPropertyBindingResult: 2 errors<EOL>Field error in object 'storeProductEntity' on field 'amount': rejected value [qwe]; codes [typeMismatch.storeProductEntity.amount,typeMismatch.amount,typeMismatch.java.math.BigDecimal,typeMismatch]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [storeProductEntity.amount,amount]; arguments []; default message [amount]]; default message [Failed to convert property value of type 'java.lang.String' to required type 'java.math.BigDecimal' for property 'amount'; Character q is neither a decimal digit number, decimal point, nor "e" notation exponential mark.]<EOL>Field error in object 'storeProductEntity' on field 'quantity': rejected value [qwe]; codes [typeMismatch.storeProductEntity.quantity,typeMismatch.quantity,typeMismatch.java.math.BigDecimal,typeMismatch]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [storeProductEntity.quantity,quantity]; arguments []; default message [quantity]]; default message [Failed to convert property value of type 'java.lang.String' to required type 'java.math.BigDecimal' for property 'quantity'; Character q is neither a decimal digit number, decimal point, nor "e" notation exponential mark.]]
2023-05-16 11:18:37.761 WARN  --- [restartedMain] org.hibernate.orm.deprecation - HHH90000021: Encountered deprecated setting [javax.persistence.sharedCache.mode], use [jakarta.persistence.sharedCache.mode] instead
2023-05-16 11:18:39.502 WARN  --- [restartedMain] o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-05-16 11:18:39.784 WARN  --- [restartedMain] org.thymeleaf.templatemode.TemplateMode - [THYMELEAF][restartedMain] Unknown Template Mode 'HTML5'. Must be one of: 'HTML', 'XML', 'TEXT', 'JAVASCRIPT', 'CSS', 'RAW'. Using default Template Mode 'HTML'.
2023-05-16 11:18:46.778 WARN  --- [http-nio-8080-exec-1] o.t.s.p.AbstractStandardFragmentInsertionTagProcessor - [THYMELEAF][http-nio-8080-exec-1][system/product/product] Deprecated unwrapped fragment expression "@{~/top_menu.html}" found in template system/product/product, line 38, col 6. Please use the complete syntax of fragment expressions instead ("~{@{~/top_menu.html}}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
2023-05-16 11:18:52.535 WARN  --- [http-nio-8080-exec-2] o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.validation.BindException: org.springframework.validation.BeanPropertyBindingResult: 2 errors<EOL>Field error in object 'storeProductEntity' on field 'amount': rejected value [qwe]; codes [typeMismatch.storeProductEntity.amount,typeMismatch.amount,typeMismatch.java.math.BigDecimal,typeMismatch]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [storeProductEntity.amount,amount]; arguments []; default message [amount]]; default message [Failed to convert property value of type 'java.lang.String' to required type 'java.math.BigDecimal' for property 'amount'; Character q is neither a decimal digit number, decimal point, nor "e" notation exponential mark.]<EOL>Field error in object 'storeProductEntity' on field 'quantity': rejected value [qwe]; codes [typeMismatch.storeProductEntity.quantity,typeMismatch.quantity,typeMismatch.java.math.BigDecimal,typeMismatch]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [storeProductEntity.quantity,quantity]; arguments []; default message [quantity]]; default message [Failed to convert property value of type 'java.lang.String' to required type 'java.math.BigDecimal' for property 'quantity'; Character q is neither a decimal digit number, decimal point, nor "e" notation exponential mark.]]
2023-05-16 11:19:12.132 WARN  --- [http-nio-8080-exec-3] o.t.s.p.AbstractStandardFragmentInsertionTagProcessor - [THYMELEAF][http-nio-8080-exec-3][system/product/product] Deprecated unwrapped fragment expression "@{~/top_menu.html}" found in template system/product/product, line 38, col 6. Please use the complete syntax of fragment expressions instead ("~{@{~/top_menu.html}}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
2023-05-16 11:19:18.771 WARN  --- [http-nio-8080-exec-4] o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.bind.MissingRequestCookieException: Required cookie 'login_' for method parameter type String is not present]
2023-05-16 11:20:06.967 WARN  --- [http-nio-8080-exec-7] o.t.s.p.AbstractStandardFragmentInsertionTagProcessor - [THYMELEAF][http-nio-8080-exec-7][system/product/product] Deprecated unwrapped fragment expression "@{~/top_menu.html}" found in template system/product/product, line 38, col 6. Please use the complete syntax of fragment expressions instead ("~{@{~/top_menu.html}}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
2023-05-16 11:20:13.382 WARN  --- [http-nio-8080-exec-9] o.t.s.p.AbstractStandardFragmentInsertionTagProcessor - [THYMELEAF][http-nio-8080-exec-9][system/product/product] Deprecated unwrapped fragment expression "@{~/top_menu.html}" found in template system/product/product, line 38, col 6. Please use the complete syntax of fragment expressions instead ("~{@{~/top_menu.html}}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
2023-05-16 11:20:38.620 WARN  --- [restartedMain] org.hibernate.orm.deprecation - HHH90000021: Encountered deprecated setting [javax.persistence.sharedCache.mode], use [jakarta.persistence.sharedCache.mode] instead
2023-05-16 11:20:40.140 WARN  --- [restartedMain] o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-05-16 11:20:40.386 WARN  --- [restartedMain] org.thymeleaf.templatemode.TemplateMode - [THYMELEAF][restartedMain] Unknown Template Mode 'HTML5'. Must be one of: 'HTML', 'XML', 'TEXT', 'JAVASCRIPT', 'CSS', 'RAW'. Using default Template Mode 'HTML'.
2023-05-16 11:21:11.518 WARN  --- [http-nio-8080-exec-1] o.t.s.p.AbstractStandardFragmentInsertionTagProcessor - [THYMELEAF][http-nio-8080-exec-1][system/product/product] Deprecated unwrapped fragment expression "@{~/top_menu.html}" found in template system/product/product, line 38, col 6. Please use the complete syntax of fragment expressions instead ("~{@{~/top_menu.html}}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
